Symptoms,frequency,similarity
spasm,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
sprechstoerung,"[0, 0, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0]",
splenomegaly,"[1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
splenomegalie,"[1, 0, 0, 0, 3, 0, 1, 0, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
asthmaanfall,"[4, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
steatorrhoe,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
ulcus ventriculi,"[0, 0, 2, 0, 1, 0, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 1, 3, 1, 0, 0, 0, 0, 1]",
stomatitis,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0]",
aphthen,"[1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
stomatitis aphtosa,"[3, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 2, 1, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 1]",
stridor,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
schlaganfall,"[3, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
apoplektischer insult,"[1, 0, 1, 0, 2, 0, 0, 1, 2, 0, 1, 2, 0, 1, 1, 2, 0, 1, 2, 2, 1, 0, 0, 0, 0, 0, 1]",
sweat,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]",
schwitzen,"[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0]",
swelling,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",
schwellung,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",
syncope,"[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
synkope,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
syphilis,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",
sinustachykardie,"[2, 0, 1, 1, 1, 0, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 1, 2, 1, 1, 0, 0, 0, 1, 0, 0]",
tendovaginitis,"[1, 0, 0, 1, 1, 0, 1, 0, 3, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0]",
tetanus,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0]",
tetanie,"[1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",
thrombozytopenie,"[0, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 1, 1, 3, 1, 0, 1, 0, 2, 0, 0, 0, 0, 1, 1, 0]",
tinea corporis,"[1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1]",
tinnitus,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0]",
ohrgeraeusche,"[1, 0, 1, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
tonsillitis,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 1, 1, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]",
zahnextraktion,"[2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 1, 0]",
tracheobronchitis,"[1, 1, 2, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 1, 2, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
tremor,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
trikuspidalinsuffizienz,"[1, 0, 0, 1, 1, 2, 0, 0, 5, 0, 1, 1, 0, 2, 0, 1, 0, 1, 2, 1, 2, 0, 0, 0, 0, 2, 0]",
trigeminusneuralgie,"[1, 0, 0, 0, 3, 0, 2, 0, 3, 0, 0, 1, 1, 2, 0, 0, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0]",
unconscious state,"[1, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 0, 0, 0, 3, 2, 2, 0, 0, 0, 0, 0, 1]",
bewusstlosigkeit,"[0, 1, 0, 0, 2, 0, 1, 0, 2, 0, 1, 1, 0, 0, 1, 0, 0, 0, 3, 2, 1, 0, 1, 0, 0, 0, 0]",
underweight,"[0, 0, 0, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0]",
erythema,"[1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
roetung,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
erytheme,"[0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",
urethritis,"[0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 0, 0]",
pollakisurie,"[1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 2, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
harninkontinenz,"[1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 1, 0, 0, 5, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]",
blaseninkontinenz,"[1, 1, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 0, 5, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",
urtikaria,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
uveitis,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0]",
uveitis anterior,"[1, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 2, 1, 1, 0, 0, 0, 0, 1]",
uveitis posterior,"[0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 1, 0, 2, 2, 2, 1, 1, 0, 0, 0, 0, 1]",
varikozele,"[1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
varizen,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
vaskulitis,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0]",
vasokonstriktion,"[1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 3, 0, 0, 1, 2, 2, 0, 1, 0, 0, 0, 0, 0]",
kammerflimmern,"[1, 0, 0, 0, 2, 1, 0, 0, 1, 0, 1, 1, 4, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
tachykardie ventrikulaer,"[3, 0, 1, 1, 3, 0, 0, 1, 2, 0, 2, 1, 0, 1, 0, 0, 0, 3, 0, 2, 1, 1, 0, 0, 1, 0, 1]",
vertigo,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",
drehschwindel,"[0, 0, 1, 2, 2, 0, 0, 2, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",
virilismus,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0]",
vitamin b12-mangel,"[2, 1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",
vitamin-k-mangel,"[2, 0, 0, 0, 1, 0, 1, 0, 2, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",
vomiting,"[0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",
erbrechen,"[0, 1, 1, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
wasting-syndrom,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 1, 2, 1, 0, 0, 1, 0, 1, 0, 0]",
weight gain,"[1, 0, 0, 0, 1, 0, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",
gewichtszunahme,"[1, 0, 1, 0, 2, 0, 1, 2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]",
decreased body weight,"[1, 1, 1, 3, 4, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 2]",
wheezing,"[0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",
giemen,"[0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
keuchhusten,"[0, 0, 1, 0, 2, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0]",
trauma,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]",
gastrointestinale fisteln,"[2, 0, 0, 0, 3, 1, 1, 0, 3, 0, 0, 2, 0, 3, 1, 0, 0, 1, 3, 4, 0, 0, 0, 0, 0, 0, 1]",
hypochlorhydrie,"[0, 0, 1, 1, 1, 0, 0, 3, 1, 0, 0, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0]",
harnverhalt,"[2, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0]",
ploetzlicher herztod,"[0, 0, 1, 1, 3, 0, 0, 2, 1, 0, 0, 2, 0, 0, 2, 1, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 1]",
arthritis,"[1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
normozytaere anaemie,"[3, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 2, 2, 2, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1]",
retrobulbaerneuritis,"[1, 2, 0, 0, 3, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 4, 1, 2, 2, 0, 0, 0, 0, 0, 0]",
enzephalopathie,"[2, 0, 0, 0, 3, 0, 0, 2, 1, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",
chill,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
schuettelfrost,"[0, 0, 1, 0, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 3, 1, 0, 0, 0, 0, 0, 0]",
polydypsia,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0]",
polydipsie,"[0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
urgency of micturition,"[0, 0, 2, 0, 1, 1, 1, 0, 3, 0, 0, 0, 1, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 0, 1, 0, 1]",
harndrang,"[2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
sinusbradykardie,"[2, 1, 0, 2, 1, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0]",
ventrikulaere arrhythmie,"[2, 0, 0, 0, 4, 0, 0, 2, 2, 0, 1, 1, 1, 1, 0, 0, 0, 4, 0, 2, 1, 1, 0, 0, 1, 0, 1]",
rechtsschenkelblock,"[0, 1, 3, 0, 3, 0, 0, 2, 0, 0, 2, 2, 0, 1, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0]",
vasospasmus,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 4, 0, 1, 1, 0, 0, 0, 0, 0]",
orthopnea,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
orthopnoe,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
burning sensation,"[1, 1, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 4, 1, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 1]",
brennen,"[0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
stupor,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",
agitation,"[2, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",
agitiertheit,"[1, 0, 0, 0, 2, 0, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0]",
indifferent mood,"[0, 0, 0, 2, 2, 2, 0, 0, 2, 0, 0, 0, 1, 2, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",
photopsia,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
photophobia,"[1, 1, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
lichtempfindlichkeit,"[0, 0, 2, 1, 2, 1, 0, 2, 4, 0, 1, 2, 1, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",
fall,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
livedo reticularis,"[1, 0, 1, 1, 2, 0, 0, 0, 3, 0, 0, 2, 0, 0, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 1]",
pyoderma gangraenosum,"[3, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 1, 0, 2, 1, 0, 1, 0, 0, 0, 1, 0, 1]",
polymyositis,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 2, 1, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 0]",
pityriasis alba,"[3, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 1, 0, 1]",
makrozytose,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0]",
spider naevi,"[1, 0, 0, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]",
monocytosis,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 3, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0]",
hypogammaglobulinaemie,"[3, 1, 0, 0, 2, 0, 2, 1, 2, 0, 0, 2, 3, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",
hypokinesia,"[1, 0, 0, 0, 1, 0, 0, 1, 2, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
leberfunktionsstoerung,"[0, 1, 0, 0, 3, 1, 1, 0, 1, 0, 1, 1, 0, 3, 2, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]",
mimische muskulatur,"[1, 0, 1, 0, 1, 0, 0, 1, 2, 0, 1, 1, 3, 0, 0, 0, 0, 1, 2, 1, 3, 0, 0, 0, 0, 0, 1]",
uhrglasnaegel,"[2, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",
food intolerance,"[1, 0, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 2, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",
haematospermie,"[2, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
mundulzera,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 0]",
orthostasis,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0]",
poor dentition,"[0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 3, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1]",
amaurosis fugax,"[3, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 0, 2, 0, 0, 1, 0, 0, 1]",
migraene,"[1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
feeling hopeless,"[0, 0, 0, 0, 4, 1, 1, 1, 1, 0, 0, 2, 0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1]",
urge incontinence,"[0, 0, 2, 0, 3, 0, 1, 0, 2, 0, 0, 0, 0, 4, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",
sklerodaktylie,"[1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 2, 2, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]",
neck stiffness,"[0, 0, 1, 0, 2, 2, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1]",
nackensteifigkeit,"[1, 0, 1, 0, 3, 1, 1, 0, 3, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
enteropathische arthritis,"[2, 0, 1, 0, 3, 0, 0, 3, 3, 0, 0, 0, 0, 1, 1, 1, 0, 3, 2, 4, 0, 0, 0, 0, 0, 0, 1]",
hautatrophie,"[2, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0]",
kreatinin hoch,"[1, 0, 1, 0, 1, 0, 0, 2, 2, 0, 1, 0, 0, 2, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",
ventrikulaere extrasystolen,"[2, 0, 0, 0, 5, 0, 0, 0, 1, 0, 1, 2, 0, 2, 1, 0, 0, 3, 2, 3, 1, 1, 0, 1, 1, 0, 1]",
myokardfibrose,"[1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0]",
lungenblutung,"[0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0]",
bleeding of vagina,"[2, 1, 0, 1, 2, 1, 2, 0, 2, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2]",
muskelschwaeche,"[1, 0, 2, 0, 3, 0, 0, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0]",
opisthotonus,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 3, 1, 0, 0, 2, 2, 1, 0, 0, 0, 0, 0, 0]",
knochenschmerzen,"[0, 0, 2, 0, 3, 0, 0, 2, 0, 0, 1, 0, 1, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",
augenschmerzen,"[1, 0, 1, 0, 3, 0, 1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0]",
polyserositis,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 0, 2, 1, 0, 1, 3, 1, 0, 0, 0, 0, 1, 0, 0]",
qt interval prolonged,"[1, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 2, 0, 2, 2, 1, 1, 2, 0, 2, 0, 1, 0, 0, 0, 0, 2]",
hyperreflexie,"[0, 0, 0, 0, 4, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0]",
trockene haut,"[1, 0, 1, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 1]",
polyneuropathie,"[1, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 1, 0, 1, 2, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]",
urinary hesitation,"[2, 0, 0, 0, 1, 0, 0, 1, 3, 0, 0, 0, 0, 2, 1, 0, 0, 2, 1, 2, 1, 0, 0, 0, 1, 0, 1]",
harnleiterkolik,"[1, 0, 0, 0, 2, 0, 0, 1, 2, 0, 2, 2, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
thrombophlebitis migrans,"[1, 2, 0, 0, 1, 0, 1, 2, 3, 0, 0, 1, 2, 1, 2, 1, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1]",
hydrops der gallenblase,"[2, 1, 0, 2, 3, 0, 1, 1, 0, 0, 0, 3, 0, 1, 1, 1, 0, 2, 2, 0, 0, 0, 0, 0, 1, 0, 2]",
striae,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",
fettstoffwechselstoerungen,"[0, 0, 1, 0, 5, 3, 1, 1, 0, 0, 0, 1, 0, 2, 2, 0, 0, 1, 3, 4, 1, 0, 1, 0, 0, 0, 0]",
otorrhoe,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
mikroangiopathie,"[2, 0, 0, 0, 1, 0, 1, 1, 3, 0, 1, 0, 1, 1, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
pfortaderthrombose,"[1, 1, 0, 1, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 3, 1, 0, 3, 1, 2, 0, 0, 0, 0, 0, 0, 0]",
chronische stauungsleber,"[1, 1, 2, 0, 3, 0, 1, 2, 1, 0, 0, 1, 0, 2, 1, 0, 0, 2, 3, 1, 2, 0, 0, 0, 0, 0, 1]",
hodenatrophie,"[1, 0, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 1, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
abortion,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",
chron ulcera haut,"[2, 0, 2, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 2]",
